name,song_genre,subgenre1,subgenre2,subgenre3
12 Years a Slave,rock,lo-fi emo,lo-fi indie,slacker rock
2001: A Space Odyssey,classical,caucasian classical,classical,early modern classical
3 Idiots,world/traditional,filmi,modern bollywood,filmi
A Beautiful Mind,pop,operatic pop,operatic pop,
A Clockwork Orange,classical,classical,classical era,early romantic era
Adventure Time,pop,pov: indie,pov: indie,
Aladdin,hip hop,hip hop,pop rap,hip hop
Alfred Hitchcock Presents,classical,classical,french opera,french romanticism
Alien,classical,classical,early romantic era,german romanticism
All About Eve,classical,classical,late romantic era,classical
Amadeus,classical,classical,classical era,classical
American Beauty,pop,dance pop,pop,talent show
Amores perros,latin,cantautor,latin alternative,mexican rock
Amélie,classical,compositional ambient,french soundtrack,compositional ambient
Apocalypse Now,country,nashville sound,nashville sound,
Arcane,rock,modern rock,pop,rock
Arrested Development,hip hop,atl hip hop,conscious hip hop,hip hop
Aspirants,world/traditional,classic pakistani pop,pakistani pop,sufi
Attack on Titan,easy listening,anime score,japanese soundtrack,anime score
Avengers: Endgame,rock,blues rock,british blues,classic rock
Avengers: Infinity War,r&b,classic soul,disco,funk
Back to the Future,folk/acoustic,album rock,classic rock,hard rock
Barry Lyndon,classical,classical,classical era,early romantic era
Batman Begins,classical,italian opera,italian romanticism,post-romantic era
Batman: The Animated Series,classical,orchestral soundtrack,soundtrack,orchestral soundtrack
Beauty and the Beast,classical,broadway,movie tunes,orchestral soundtrack
Before Sunrise,classical,baroque,classical,early music
Before Sunset,new age,calming instrumental,calming instrumental,
Behzat Ç.: Bir Ankara Polisiyesi,rock,turkish rock,turkish rock,
Ben-Hur,easy listening,classic soundtrack,classic soundtrack,
Berserk,easy listening,anime score,japanese alternative pop,japanese electropop
Big Little Lies,r&b,british soul,neo soul,psychedelic soul
Blackadder Goes Forth,classical,gregorian chant,puirt-a-beul,gregorian chant
Blade Runner,metal,greek black metal,greek metal,medieval black metal
Boardwalk Empire,folk/acoustic,alternative rock,bay area indie,garage rock
Breaking Bad,rock,indietronica,nu gaze,indietronica
Casablanca,classical,french romanticism,french romanticism,
Casino,classical,baroque,classical,early music
Catch Me If You Can,pop,pop,uk pop,pop
Chappelle's Show,hip hop,alternative hip hop,conscious hip hop,east coast hip hop
Chernobyl,classical,cello,compositional ambient,drone
Chinatown,blues,adult standards,harlem renaissance,jazz
Cinema Paradiso,classical,classic soundtrack,italian soundtrack,orchestral soundtrack
Citizen Kane,rock,scottish indie,scottish indie,
City Lights,easy listening,british soundtrack,british soundtrack,
City of God,latin,bossa nova,mpb,samba
Coco,easy listening,movie tunes,movie tunes,
Code Geass,r&b,afrobeats,nigerian pop,afrobeats
Come and See,classical,classical,german opera,german romanticism
Community,pop,la indie,la indie,
Cool Hand Luke,folk/acoustic,american folk revival,american folk revival,
Coupling,jazz,adult standards,easy listening,lounge
Crash Landing on You,pop,k-pop,k-pop,
Curb Your Enthusiasm,country,alternative americana,drone folk,modern old-time
Dangal,hip hop,desi hip hop,desi pop,desi trap
Daredevil,easy listening,movie tunes,movie tunes,
Dark,hip hop,lgbtq+ hip hop,lgbtq+ hip hop,
Dead Poets Society,classical,baroque,classical,early music
Death Note,metal,j-metal,visual kei,j-metal
Demon Slayer: Kimetsu no Yaiba,rock,anime,anime rock,j-pixie
Dexter,electronic,chiptune,japanese classical,japanese vgm
Die Hard,easy listening,adult standards,vintage hollywood,adult standards
Django Unchained,easy listening,classic soundtrack,italian soundtrack,classic soundtrack
Doctor Who,easy listening,british soundtrack,theme,british soundtrack
Double Indemnity,pop,uk pop,uk pop,
Downfall,classical,baroque,classical,early music
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,jazz,classic soul,memphis soul,soul
Dragon Ball Z,easy listening,theme,theme,
Dune,new age,instrumental worship,instrumental worship,
Erased,rock,anime,j-pop,j-poprock
Eternal Sunshine of the Spotless Mind,folk/acoustic,alternative rock,anti-folk,permanent wave
Fargo,pop,adult standards,brill building pop,disco
Father Ted,rock,british soul,new romantic,new wave
Fawlty Towers,classical,baroque,classical,early music
Fight Club,pop,alt z,electropop,pop
Finding Nemo,jazz,bebop,bossa nova,cool jazz
Firefly,folk/acoustic,fantasy,fantasy,
Flames,world/traditional,filmi,modern bollywood,filmi
Fleabag,rock,alternative dance,dance-punk,electroclash
For a Few Dollars More,classical,classic soundtrack,italian soundtrack,orchestral soundtrack
Ford v Ferrari,pop,acoustic pop,singer-songwriter pop,acoustic pop
Forrest Gump,country,country,honky tonk,traditional country
Friends,hip hop,east coast hip hop,hardcore hip hop,hip hop
Full Metal Jacket,easy listening,lounge,sunshine pop,lounge
Fullmetal Alchemist,rock,j-pop,j-rock,j-pop
Fullmetal Alchemist: Brotherhood,pop,alt z,pop,alt z
Game of Thrones,easy listening,movie tunes,movie tunes,
Gandhi,classical,gregorian chant,puirt-a-beul,gregorian chant
Gladiator,electronic,avant-garde metal,breakcore,cybergrind
Gone Girl,rock,album rock,new romantic,new wave
Gone with the Wind,easy listening,vintage italian soundtrack,vintage italian soundtrack,
Good Will Hunting,rock,celtic punk,celtic rock,celtic punk
Goodfellas,jazz,adult standards,easy listening,lounge
Gran Torino,folk/acoustic,contemporary vocal jazz,jazz pop,neo mellow
Grave of the Fireflies,rock,album rock,alternative metal,glam metal
Gravity Falls,pop,antiviral pop,otacore,antiviral pop
Green Book,easy listening,adult standards,easy listening,lounge
Groundhog Day,,alt z,gen z singer-songwriter,singer-songwriter pop
Hacksaw Ridge,new age,instrumental worship,instrumental worship,
Hamilton,jazz,broadway,show tunes,vocal jazz
Hannibal,classical,british classical piano,classical piano,british classical piano
Heat,pop,ambient pop,ambient pop,
High and Low,classical,classical,late romantic era,russian romanticism
Hotel Rwanda,world/traditional,afropop,kwaito,south african jazz
House,electronic,downtempo,electronica,trip hop
How to Train Your Dragon,country,arkansas country,contemporary country,country
Howl's Moving Castle,new age,japanese instrumental,japanese instrumental,
I Love Lucy,easy listening,children's music,nursery,children's music
Ikiru,jazz,cabaret,harlem renaissance,cabaret
In the Name of the Father,rock,britpop,madchester,britpop
Incendies,folk/acoustic,alternative rock,art rock,melancholia
Inception,jazz,chanson,torch song,vintage schlager
Indiana Jones and the Last Crusade,blues,adult standards,jump blues,lounge
Inglourious Basterds,easy listening,easy listening,easy listening,
Interstellar,classical,german soundtrack,orchestral soundtrack,soundtrack
Into the Wild,rock,acoustic rock,grunge,permanent wave
It Happened One Night,hip hop,alternative hip hop,boom bap,drumless hip hop
It's Okay to Not Be Okay,country,contemporary country,country pop,modern country pop
It's a Wonderful Life,classical,choral,orchestral performance,choral
Jaws,electronic,adult standards,australian dance,disco
John Adams,country,country dawn,country dawn,
Joker,jazz,french jazz,french jazz,
Judgment at Nuremberg,jazz,cabaret,torch song,vintage hollywood
Jujutsu Kaisen,rock,anime,anime rock,anime
Jurassic Park,latin,mariachi,musica mexicana,norteno
Justice League,classical,orchestral soundtrack,soundtrack,orchestral soundtrack
Justified,folk/acoustic,alternative americana,alternative americana,
Kill Bill: Vol. 1,easy listening,lounge,sunshine pop,lounge
Klaus,pop,pop,pop,
L.A. Confidential,easy listening,adult standards,easy listening,lounge
La Haine,rock,reggae,roots reggae,ska
Last Week Tonight with John Oliver,hip hop,australian hip hop,australian hip hop,
Lawrence of Arabia,jazz,music hall,music hall,
Leyla and Mecnun,pop,alt z,alt z,
Life Is Beautiful,classical,classical,french opera,french romanticism
Life of Brian,r&b,contemporary r&b,quiet storm,r&b
Like Stars on Earth,world/traditional,classic pakistani pop,filmi,modern bollywood
"Lock, Stock and Two Smoking Barrels",rock,britpop,madchester,mod revival
Logan,latin,latin pop,ranchera,latin pop
Louie,pop,europop,synthpop,europop
Luther,electronic,downtempo,electronica,trip hop
Léon: The Professional,pop,boy band,dance pop,pop
M,classical,baroque,classical,early music
Mad Max: Fury Road,classical,greek contemporary classical,soundtrack,greek contemporary classical
Mad Men,electronic,electronica,instrumental hip hop,jazztronica
Mahabharat,world/traditional,desi pop,modern bollywood,desi pop
Making a Murderer,easy listening,old west,old west,
Mary and Max,classical,compositional ambient,compositional ambient,
Memento,folk/acoustic,album rock,classic rock,hard rock
Million Dollar Baby,electronic,electro trash,electro trash,
Modern Family,easy listening,movie tunes,movie tunes,
Modern Times,folk/acoustic,traditional folk,vintage country folk,traditional folk
Monster,folk/acoustic,folk punk,portland punk,folk punk
"Monsters, Inc.",country,contemporary country,country,country gospel
Monty Python and the Holy Grail,folk/acoustic,middle earth,middle earth,
Monty Python's Flying Circus,classical,american romanticism,concert band,american romanticism
Mr. Bean,rock,indie rock,lo-fi,new jersey indie
Mr. Smith Goes to Washington,classical,british choir,british choir,
My Father and My Son,pop,arabesk,turkish pop,arabesk
My Neighbor Totoro,new age,japanese instrumental,japanese instrumental,
Mystery Science Theater 3000,folk/acoustic,alabama indie,instrumental rock,instrumental surf
Narcos,latin,nova mpb,nova mpb,
Naruto: Shippûden,rock,j-pop boy group,j-poprock,j-pop boy group
No Country for Old Men,latin,corrido,sierreno,corrido
North & South,classical,german soundtrack,orchestral soundtrack,soundtrack
North by Northwest,easy listening,adult standards,easy listening,adult standards
Old Boy,pop,acoustic pop,acoustic pop,
Once Upon a Time in America,country,contemporary country,country,country dawn
Once Upon a Time in the West,world/traditional,irish ballad,irish ballad,
One Flew Over the Cuckoo's Nest,r&b,trap queen,trap queen,
One Piece,pop,pop,pop,
Our Planet,easy listening,movie tunes,post-teen pop,movie tunes
Pan's Labyrinth,easy listening,scorecore,scorecore,
Panchayat,world/traditional,desi pop,modern bollywood,desi pop
Parasite,classical,baroque,classical,early music
Pather Panchali,jazz,jazz piano,space age pop,jazz piano
Paths of Glory,classical,french romanticism,french romanticism,
Peaky Blinders,folk/acoustic,alternative rock,permanent wave,singer-songwriter
Peep Show,rock,pop rock,post-grunge,pop rock
Persona,classical,baroque,classical,early music
Pirates of the Caribbean: The Curse of the Black Pearl,country,ukulele,ukulele,
Platoon,classical,american modern classical,classical,american modern classical
Pride and Prejudice,classical,orchestral soundtrack,soundtrack,orchestral soundtrack
Princess Mononoke,electronic,anime score,japanese vgm,anime score
Prisoners,folk/acoustic,roots worship,roots worship,
Pulp Fiction,folk/acoustic,baroque pop,classic rock,folk rock
Raging Bull,classical,classical,italian opera,italian romanticism
Rashomon,classical,british orchestra,classical,orchestra
Ratatouille,r&b,praise,praise,
Rear Window,country,contemporary country,country,country road
Rebecca,classical,irish classical,irish classical,
Requiem for a Dream,classical,british soundtrack,compositional ambient,soundtrack
Reservoir Dogs,pop,nederpop,nederpop,
Rocky,metal,prog metal,prog metal,
Room,hip hop,detroit hip hop,detroit hip hop,
Rurouni Kenshin: Trust and Betrayal,folk/acoustic,melancholia,new romantic,new wave
Rush,rock,british blues,power pop,pub rock
Samurai Champloo,electronic,gaming edm,gaming edm,
Samurai Jack,pop,pop,scandipop,swedish electropop
Saving Private Ryan,electronic,french shoegaze,french synthpop,indietronica
Scarface,rock,dance pop,new wave pop,soft rock
Schindler's List,jazz,bebop,contemporary post-bop,jazz
Se7en,rock,alternative metal,alternative rock,cyberpunk
Seinfeld,,anime lo-fi,lo-fi vgm,anime lo-fi
Shameless,folk/acoustic,alternative rock,austindie,indie rock
Shutter Island,world/traditional,canzone d'autore,classic italian pop,italian adult pop
Silicon Valley,electronic,wonky,wonky,
Singin' in the Rain,easy listening,adult standards,vintage hollywood,adult standards
Six Feet Under,pop,art pop,pop,art pop
Snatch,metal,nightrun,nightrun,
Some Like It Hot,rock,hard rock,hard rock,
South Park,,anime lo-fi,lo-fi vgm,anime lo-fi
Southland,latin,rumba,rumba,
Spider-Man: Into the Spider-Verse,r&b,funk,motown,soul
Spider-Man: No Way Home,rock,alternative rock,art punk,dance rock
Spirited Away,pop,classic city pop,classic city pop,
Spotlight,world/traditional,scottish singer-songwriter,scottish singer-songwriter,
Stand by Me,rock,rock-and-roll,soul,rock-and-roll
Star Wars: Episode VI - Return of the Jedi,classical,orchestral soundtrack,soundtrack,orchestral soundtrack
Steins;Gate,pop,anime,classic city pop,japanese new wave
Stranger Things,easy listening,horror synth,soundtrack,horror synth
Sunset Blvd.,easy listening,classic soundtrack,classic soundtrack,
Taxi Driver,folk/acoustic,album rock,classic rock,country rock
Terminator 2: Judgment Day,rock,glam metal,hard rock,rock
The 400 Blows,easy listening,vintage chanson,vintage chanson,
The Angry Video Game Nerd,rock,album rock,classic rock,glam metal
The Apartment,pop,canadian pop,canadian pop,
The Batman,rock,grunge,permanent wave,rock
The Battle of Algiers,classical,baroque,classical,early music
The Best Years of Our Lives,rock,adult standards,brill building pop,easy listening
The Big Lebowski,folk/acoustic,classic rock,country rock,folk
The Boat,jazz,jazz piano,space age pop,jazz piano
The Boys,pop,dance pop,girl group,pop
The Bridge,rock,danish alternative rock,danish alternative rock,
The Bridge on the River Kwai,classical,military band,military band,
The Bugs Bunny Show,pop,antiviral pop,pixel,antiviral pop
The Civil War,country,instrumental bluegrass,old-time fiddle,instrumental bluegrass
The Dark Knight,electronic,calming instrumental,organic ambient,calming instrumental
The Dark Knight Rises,classical,classical,impressionism,neoclassicism
The Deer Hunter,rock,adult standards,bubblegum pop,lounge
The Departed,rock,album rock,british invasion,classic rock
The Elephant Man,classical,american modern classical,classical,american modern classical
The Exorcist,classical,baroque,classical,german baroque
The Family Man,world/traditional,desi pop,filmi,gujarati pop
The Father,classical,compositional ambient,neo-classical,compositional ambient
The General,country,jam band,modern folk rock,jam band
The Godfather,easy listening,adult standards,easy listening,adult standards
The Godfather: Part II,easy listening,classic soundtrack,classic soundtrack,
"The Good, the Bad and the Ugly",classical,classic soundtrack,italian soundtrack,orchestral soundtrack
The Grand Budapest Hotel,electronic,chamber pop,gothenburg indie,swedish indie pop
The Grand Tour,rock,modern blues rock,rebel blues,modern blues rock
The Grapes of Wrath,country,cowboy western,nashville sound,cowboy western
The Great Dictator,classical,classical,german romanticism,late romantic era
The Green Mile,r&b,trap queen,trap queen,
The Handmaiden,pop,k-pop,k-pop,
The Help,r&b,motown,soul,motown
The Hunt,folk/acoustic,classic rock,folk,folk rock
The Intouchables,r&b,disco,funk,jazz funk
The Jinx: The Life and Deaths of Robert Durst,folk/acoustic,alternative rock,chamber pop,melancholia
The Lion King,easy listening,movie tunes,movie tunes,
The Lives of Others,rock,ostrock,ostrock,
The Lord of the Rings: The Fellowship of the Ring,classical,canadian classical,canadian soundtrack,middle earth
The Lord of the Rings: The Return of the King,folk/acoustic,new romantic,new wave,new wave pop
The Lord of the Rings: The Two Towers,latin,lo-fi cover,lo-fi cover,
The Matrix,electronic,downtempo,electronica,trip hop
The Newsroom,easy listening,theme,theme,
The Office,hip hop,hip hop,ohio hip hop,pop rap
The Pianist,classical,classical,early romantic era,polish classical
The Prestige,jazz,british jazz,british jazz,
The Secret in Their Eyes,latin,folklore argentino,folklore argentino,
The Seventh Seal,country,fotbollslatar,russelater,fotbollslatar
The Shawshank Redemption,easy listening,lounge,vocal harmony group,lounge
The Shining,new age,synthesizer,synthesizer,
The Silence of the Lambs,folk/acoustic,album rock,classic rock,hard rock
The Simpsons,rock,modern rock,permanent wave,punk
The Sixth Sense,jazz,cool jazz,jazz,jazz trumpet
The Sopranos,rock,alternative metal,canadian rock,post-grunge
The Sound of Music,classical,baroque,classical,early music
The Sting,classical,african-american classical,american modern classical,post-romantic era
The Terminator,r&b,motown,northern soul,motown
The Thing,folk/acoustic,album rock,classic rock,dance rock
The Third Man,easy listening,zither,zither,
The Truman Show,classical,classical,classical era,classical
The Usual Suspects,classical,classical,impressionism,post-romantic era
The Venture Bros.,country,modern country pop,texas country,modern country pop
The West Wing,classical,baroque,classical,early music
The Wire,folk/acoustic,folk,singer-songwriter,folk
The Wizard of Oz,jazz,adult standards,torch song,vocal jazz
The Wolf of Wall Street,electronic,deep pop edm,progressive electro house,deep pop edm
There Will Be Blood,classical,orchestra,orchestra,
"Three Billboards Outside Ebbing, Missouri",folk/acoustic,irish folk,irish singer-songwriter,irish folk
To Be or Not to Be,classical,classical,early romantic era,polish classical
Top Gear,pop,dance pop,post-teen pop,dance pop
Toy Story,classical,chinese classical performance,chinese classical piano,classical performance
Toy Story 3,hip hop,dance pop,pop,urban contemporary
Trainspotting,pop,art pop,pop,art pop
True Detective,country,albuquerque indie,gothic americana,albuquerque indie
Twin Peaks,jazz,dark jazz,soundtrack,dark jazz
Unforgiven,hip hop,dance pop,miami hip hop,pop
Up,classical,classical,french opera,french romanticism
V for Vendetta,rock,alternative metal,groove metal,hard rock
Vertigo,classical,classical,classical era,classical
WALL·E,easy listening,broadway,broadway,
Warrior,pop,bossbeat,bossbeat,
Westworld,classical,german soundtrack,orchestral soundtrack,scorecore
What We Do in the Shadows,pop,afrofuturism,alternative hip hop,electronica
Whiplash,r&b,alternative r&b,alternative r&b,
Wild Strawberries,world/traditional,musikkorps,musikkorps,
Wild Tales,electronic,big room,dance pop,edm
Witness for the Prosecution,jazz,cabaret,torch song,vintage hollywood
X-Men: The Animated Series,easy listening,soundtrack,soundtrack,
Your Lie in April,classical,classical,classical era,early romantic era
Your Name.,new age,indie game soundtrack,otacore,pixel
